"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,6.082,6.140,6.181,10.08,37.70,17.96,29.45,5.37,0.099,0.064,47.00,48.48,6.074,6.082,6.181,6.189,45.66,45.66,0.75,55.74,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,6.181,6.255,6.272,13.91,41.41,19.73,40.63,5.89,0.091,0.048,48.48,54.24,6.181,6.189,6.272,6.280,45.66,45.67,0.33,59.57,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,6.272,6.321,6.354,16.11,61.58,29.34,47.06,8.76,0.082,0.082,54.24,54.36,6.272,6.280,6.346,6.354,45.67,45.67,0.67,61.78,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,6.354,6.379,6.404,12.81,31.01,14.77,37.41,4.41,0.050,0.058,54.36,52.83,6.346,6.354,6.395,6.404,45.67,45.67,0.75,58.48,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,6.404,6.453,6.487,16.72,60.07,28.62,48.84,8.55,0.083,0.078,52.83,55.27,6.395,6.404,6.478,6.487,45.67,45.68,0.58,62.40,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,6.487,6.570,6.636,34.23,209.89,100.00,100.00,29.87,0.149,0.116,55.27,71.24,6.478,6.487,6.628,6.636,45.68,45.69,0.73,79.91,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"16" ,6.636,6.669,6.858,33.09,159.40,75.94,96.67,22.68,0.222,0.079,71.24,45.70,6.628,6.636,6.843,6.859,45.69,45.70,2.53,78.78,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"17" ,7.025,7.058,7.124,2.00,4.26,2.03,5.84,0.61,0.099,0.031,45.73,45.77,6.926,7.025,7.166,7.232,45.72,45.73,1.28,47.72,,,  ,163.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (525.0 -> 393.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.108,0.149,0.231,15.40,35.31,9.08,38.94,1.58,0.123,0.036,45.69,45.96,0.091,0.116,0.223,0.231,45.65,45.65,1.51,61.05,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,0.231,0.264,0.288,9.74,18.78,4.83,24.63,0.84,0.057,0.031,45.96,48.60,0.223,0.231,0.280,0.288,45.65,45.65,0.78,55.39,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,0.288,0.321,0.345,5.20,11.75,3.02,13.15,0.53,0.057,0.048,48.60,46.81,0.280,0.288,0.337,0.345,45.65,45.65,0.60,50.85,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,0.345,0.378,0.444,7.30,16.05,4.13,18.47,0.72,0.098,0.032,46.81,45.81,0.337,0.345,0.452,0.484,45.65,45.65,0.93,52.96,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,0.550,0.664,0.770,22.20,83.40,21.45,56.15,3.74,0.220,0.035,45.74,45.98,0.541,0.550,0.827,0.843,45.65,45.65,0.60,67.85,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,0.917,0.990,1.063,11.24,41.04,10.56,28.44,1.84,0.147,0.066,45.87,45.79,0.908,0.917,1.104,1.128,45.65,45.65,0.60,56.90,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,1.144,1.209,1.291,13.93,49.35,12.69,35.23,2.21,0.146,0.038,47.54,47.06,1.104,1.128,1.283,1.299,45.65,45.65,2.76,59.58,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,1.291,1.323,1.380,2.56,6.19,1.59,6.47,0.28,0.090,0.047,47.06,45.66,1.283,1.299,1.397,1.437,45.65,45.65,0.89,48.21,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,1.495,1.527,1.592,4.03,7.76,2.00,10.18,0.35,0.097,0.030,45.65,45.76,1.470,1.494,1.649,1.681,45.65,45.65,1.22,49.68,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,1.730,1.763,1.779,3.40,5.44,1.40,8.59,0.24,0.049,0.030,45.65,46.73,1.649,1.681,1.771,1.779,45.65,45.65,0.53,49.05,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,1.779,1.812,1.861,2.38,5.68,1.46,6.01,0.25,0.082,0.038,46.73,45.78,1.771,1.779,1.853,1.861,45.65,45.65,0.93,48.03,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,1.861,1.894,1.943,11.90,26.11,6.71,30.09,1.17,0.082,0.033,45.78,46.54,1.853,1.861,1.934,1.943,45.65,45.65,1.48,57.55,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,1.943,1.975,2.066,8.28,24.25,6.24,20.95,1.09,0.123,0.050,46.54,45.90,1.934,1.943,2.057,2.066,45.65,45.65,1.50,53.94,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,2.066,2.098,2.189,5.80,18.56,4.77,14.68,0.83,0.123,0.074,45.90,45.97,2.057,2.066,2.181,2.189,45.65,45.65,2.44,51.46,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,2.189,2.222,2.319,7.66,19.77,5.08,19.38,0.89,0.130,0.036,45.97,45.65,2.181,2.189,2.312,2.362,45.65,45.65,1.67,53.32,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"16" ,2.355,2.395,2.460,2.04,4.33,1.11,5.15,0.19,0.105,0.031,45.65,45.71,2.312,2.362,2.460,2.485,45.65,45.65,1.28,47.69,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"17" ,2.485,2.518,2.584,5.19,10.84,2.79,13.12,0.49,0.099,0.031,45.66,45.77,2.460,2.485,2.625,2.674,45.65,45.65,1.22,50.84,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"18" ,2.666,2.707,2.773,3.17,6.74,1.73,8.02,0.30,0.107,0.031,45.67,45.79,2.625,2.674,2.781,2.805,45.65,45.65,1.23,48.82,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"19" ,2.797,2.838,2.912,4.09,9.03,2.32,10.33,0.40,0.115,0.031,45.72,45.81,2.781,2.805,2.912,2.929,45.65,45.65,1.32,49.74,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"20" ,2.929,2.961,3.019,3.59,7.32,1.88,9.08,0.33,0.090,0.031,45.75,45.72,2.912,2.929,3.101,3.150,45.65,45.65,1.04,49.24,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"21" ,3.150,3.297,3.477,17.63,130.50,33.57,44.59,5.85,0.327,0.112,45.65,45.89,3.101,3.150,3.469,3.485,45.65,45.65,0.93,63.28,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"22" ,3.477,3.641,3.698,8.02,40.24,10.35,20.29,1.80,0.221,0.100,45.89,46.09,3.469,3.485,3.690,3.698,45.65,45.65,0.29,53.68,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"23" ,3.698,3.747,3.869,7.58,27.39,7.05,19.17,1.23,0.171,0.058,46.09,45.65,3.690,3.698,3.877,3.959,45.65,45.65,1.64,53.23,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"24" ,4.649,4.714,4.763,7.55,15.47,3.98,19.10,0.69,0.114,0.031,45.72,46.07,4.560,4.584,4.755,4.763,45.65,45.65,1.16,53.21,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"25" ,4.763,4.795,4.860,6.07,13.03,3.35,15.35,0.58,0.097,0.032,46.07,45.84,4.755,4.763,4.884,4.925,45.65,45.65,1.20,51.72,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"26" ,5.087,5.169,5.237,5.26,14.12,3.63,13.31,0.63,0.149,0.036,45.76,45.65,4.990,5.055,5.242,5.315,45.65,45.65,0.80,50.92,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"27" ,5.315,5.348,5.380,13.57,29.51,7.59,34.33,1.32,0.065,0.036,45.65,49.41,5.242,5.315,5.372,5.380,45.65,45.65,1.12,59.23,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"28" ,5.380,5.413,5.527,18.29,59.68,15.35,46.26,2.67,0.146,0.058,49.41,45.85,5.372,5.380,5.518,5.527,45.65,45.65,1.59,63.94,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"29" ,5.535,5.600,5.755,18.52,58.81,15.13,46.84,2.64,0.220,0.049,46.44,45.65,5.518,5.527,5.755,5.763,45.65,45.65,2.29,64.17,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"30" ,5.763,5.795,5.836,6.91,12.78,3.29,17.47,0.57,0.073,0.031,45.65,46.18,5.755,5.763,5.828,5.836,45.65,45.65,1.13,52.56,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"31" ,5.836,5.869,5.902,3.66,9.08,2.34,9.26,0.41,0.066,0.042,46.18,47.35,5.828,5.836,5.894,5.902,45.65,45.65,0.80,49.31,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"32" ,5.902,5.943,5.976,17.97,52.92,13.61,45.44,2.37,0.074,0.046,47.35,58.17,5.894,5.902,5.968,5.968,45.65,45.65,0.61,63.62,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"33" ,5.976,6.025,6.058,17.96,68.64,17.65,45.43,3.08,0.082,0.085,58.17,52.45,5.968,5.968,6.066,6.066,45.65,45.65,0.72,63.61,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"34" ,6.058,6.190,6.280,27.73,273.83,70.43,70.13,12.27,0.222,0.188,52.45,64.56,6.066,6.066,6.272,6.280,45.65,45.65,0.73,73.38,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"35" ,6.280,6.429,6.504,34.40,388.79,100.00,86.99,17.43,0.224,0.240,64.56,63.66,6.272,6.280,6.512,6.512,45.65,45.65,0.53,80.05,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"36" ,6.504,6.570,6.603,35.00,162.34,41.76,88.52,7.28,0.099,0.091,63.66,74.87,6.512,6.512,6.587,6.603,45.65,45.65,0.57,80.65,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"37" ,6.603,6.628,6.852,39.54,334.93,86.15,100.00,15.01,0.248,0.166,74.87,47.89,6.587,6.603,6.852,6.869,45.65,45.65,4.87,85.19,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"38" ,6.852,6.869,6.902,3.28,7.46,1.92,8.30,0.33,0.050,0.044,47.89,46.69,6.852,6.860,6.902,6.918,45.65,45.65,3.00,48.93,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"39" ,6.902,6.935,6.960,1.81,5.03,1.29,4.58,0.23,0.058,0.050,46.69,46.89,6.902,6.918,6.951,6.951,45.65,45.65,0.50,47.47,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"40" ,6.960,7.042,7.117,6.35,29.83,7.67,16.07,1.34,0.157,0.058,46.89,47.26,6.951,6.951,7.100,7.117,45.65,45.65,0.82,52.01,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"41" ,7.117,7.183,7.258,7.03,26.80,6.89,17.78,1.20,0.141,0.052,47.26,46.30,7.100,7.117,7.241,7.258,45.65,45.65,0.70,52.68,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"42" ,7.258,7.291,7.324,1.91,4.61,1.19,4.83,0.21,0.066,0.037,46.30,45.97,7.241,7.258,7.324,7.332,45.65,45.65,0.83,47.56,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"43" ,7.324,7.366,7.424,2.74,10.19,2.62,6.92,0.46,0.100,0.065,45.97,46.25,7.324,7.332,7.415,7.432,45.65,45.65,1.59,48.39,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"44" ,7.424,7.457,7.532,3.42,11.13,2.86,8.64,0.50,0.108,0.050,46.25,46.25,7.415,7.432,7.523,7.532,45.65,45.65,1.80,49.07,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"45" ,7.532,7.565,7.598,3.23,7.46,1.92,8.17,0.33,0.066,0.034,46.25,46.60,7.523,7.532,7.590,7.598,45.65,45.65,0.80,48.88,,,  ,393.0,,,,,,,,,,,
