"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"3" ,0.648,0.667,0.778,1.29,4.66,1.60,2.52,0.67,0.129,0.052,0.55,-0.18,0.645,0.654,0.804,0.806,0.05,-0.18,3.30,1.31,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"4" ,1.143,1.204,1.345,15.05,56.57,19.41,29.26,8.18,0.202,0.058,-0.53,-0.29,1.106,1.110,1.341,1.346,-0.53,-0.29,1.74,14.59,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"5" ,3.133,3.259,3.456,23.14,151.27,51.91,45.00,21.87,0.322,0.101,-1.11,-0.65,3.124,3.126,3.454,3.458,-1.11,-0.65,1.30,22.20,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"6" ,3.458,3.558,3.674,21.63,102.85,35.29,42.06,14.87,0.216,0.074,-0.64,-1.11,3.454,3.458,3.704,3.709,-0.64,-1.11,1.13,20.77,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\03_A2.d" ,"7" ,7.102,7.296,7.505,20.04,291.39,100.00,38.98,42.13,0.404,0.299,-0.91,17.25,7.030,7.033,7.505,7.509,-0.91,17.25,1.76,27.86,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d"," DAD1 - B:Sig=260,4  Ref=360,60 04_A3.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"1" ,0.368,0.391,0.405,3.55,4.35,1.49,6.77,0.66,0.037,0.021,-0.40,0.05,0.353,0.356,0.403,0.408,-0.40,-0.40,0.77,3.15,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"2" ,0.405,0.435,0.564,5.64,21.05,7.22,10.77,3.18,0.160,0.048,0.05,0.00,0.403,0.408,0.554,0.567,-0.40,-0.40,4.16,5.25,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"3" ,0.567,0.584,0.628,52.41,62.21,21.34,100.00,9.41,0.061,0.016,0.07,0.30,0.554,0.567,0.627,0.632,0.07,0.30,3.06,52.55,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"4" ,1.124,1.199,1.302,10.08,50.85,17.44,19.24,7.69,0.178,0.083,-0.52,-0.01,1.107,1.119,1.338,1.341,-0.52,-0.01,1.36,9.78,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"5" ,3.119,3.251,3.414,18.68,136.16,46.70,35.64,20.58,0.295,0.116,-1.06,-0.20,3.101,3.104,3.454,3.459,-1.06,-0.20,1.30,18.01,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"6" ,3.458,3.556,3.667,19.47,95.29,32.68,37.15,14.41,0.209,0.077,-0.62,-1.03,3.454,3.459,3.707,3.712,-0.62,-1.03,1.07,18.66,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\04_A3.d" ,"7" ,7.104,7.296,7.505,20.00,291.55,100.00,38.16,44.08,0.401,0.299,-0.76,17.19,7.024,7.034,7.505,7.509,-0.76,17.19,1.75,27.83,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d"," DAD1 - B:Sig=260,4  Ref=360,60 05_A4.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"1" ,0.372,0.393,0.406,3.76,3.82,1.30,5.92,0.52,0.034,0.015,0.49,1.01,0.353,0.356,0.403,0.411,0.49,0.50,1.01,4.25,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"2" ,0.406,0.437,0.528,3.79,11.97,4.08,5.97,1.62,0.122,0.047,1.01,0.59,0.403,0.411,0.554,0.566,0.50,0.52,2.26,4.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"3" ,0.568,0.583,0.631,63.46,75.97,25.87,100.00,10.29,0.063,0.016,0.52,0.82,0.554,0.566,0.628,0.636,0.52,0.52,3.21,63.98,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"4" ,1.124,1.198,1.314,12.48,62.85,21.40,19.67,8.51,0.189,0.082,-0.48,-0.05,1.107,1.114,1.350,1.351,-0.48,-0.05,1.37,12.17,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"5" ,3.108,3.250,3.451,23.19,172.32,58.69,36.55,23.33,0.343,0.116,-1.13,-0.44,3.093,3.096,3.450,3.453,-1.13,-0.44,1.34,22.35,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"6" ,3.456,3.554,3.683,23.77,117.96,40.17,37.45,15.97,0.227,0.077,-0.38,-1.18,3.450,3.453,3.699,3.702,-0.38,-1.18,1.07,23.04,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\05_A4.d" ,"7" ,7.097,7.293,7.506,20.22,293.63,100.00,31.87,39.76,0.409,0.300,-1.29,17.18,7.033,7.036,7.505,7.509,-1.29,17.18,1.81,27.80,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d"," DAD1 - B:Sig=260,4  Ref=360,60 06_A5.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"1" ,0.368,0.391,0.404,2.76,3.50,1.20,5.45,0.52,0.036,0.023,-0.34,-0.18,0.354,0.356,0.404,0.405,-0.34,-0.34,0.57,2.42,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"2" ,0.404,0.433,0.566,6.06,18.72,6.45,11.94,2.77,0.162,0.041,-0.18,-0.03,0.404,0.405,0.565,0.568,-0.20,-0.03,4.07,5.89,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"3" ,0.580,0.596,0.648,50.70,64.24,22.12,100.00,9.49,0.068,0.017,0.41,0.34,0.565,0.568,0.644,0.652,0.41,0.27,3.21,51.07,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"4" ,1.136,1.204,1.367,14.21,56.03,19.29,28.03,8.27,0.231,0.060,-0.53,-0.42,1.120,1.122,1.366,1.370,-0.56,-0.42,1.70,13.69,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"5" ,3.131,3.264,3.449,21.85,144.62,49.78,43.09,21.36,0.317,0.103,-1.12,-0.55,3.126,3.129,3.449,3.451,-1.14,-0.55,1.32,20.95,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"6" ,3.463,3.559,3.686,20.77,99.52,34.26,40.97,14.70,0.223,0.074,-0.60,-1.24,3.457,3.459,3.720,3.727,-0.60,-1.24,1.14,19.90,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\06_A5.d" ,"7" ,7.105,7.294,7.506,20.06,290.49,100.00,39.57,42.90,0.401,0.299,-0.72,17.19,7.026,7.031,7.505,7.509,-0.72,17.19,1.79,27.82,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d"," DAD1 - B:Sig=260,4  Ref=360,60 07_A6.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"1" ,0.363,0.393,0.406,5.12,7.07,2.43,8.01,0.93,0.042,0.023,-1.21,0.94,0.353,0.357,0.402,0.410,-1.21,-0.95,0.68,4.08,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"2" ,0.406,0.433,0.565,7.13,25.12,8.62,11.16,3.32,0.160,0.049,0.94,0.05,0.402,0.410,0.552,0.569,-0.95,0.02,4.48,6.34,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"3" ,0.566,0.586,0.634,63.86,78.88,27.08,100.00,10.42,0.069,0.016,0.05,0.71,0.552,0.569,0.631,0.639,-0.08,0.28,3.20,63.88,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"4" ,1.117,1.193,1.319,13.96,64.87,22.27,21.87,8.57,0.203,0.075,-0.56,-0.17,1.115,1.117,1.319,1.322,-0.56,-0.17,1.47,13.55,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"5" ,3.113,3.244,3.423,23.98,170.84,58.65,37.55,22.57,0.309,0.112,-1.05,-0.21,3.091,3.092,3.441,3.444,-1.05,-0.21,1.30,23.28,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"6" ,3.446,3.546,3.673,23.62,118.92,40.82,36.99,15.71,0.227,0.079,-0.35,-1.13,3.441,3.444,3.695,3.698,-0.35,-1.13,1.09,22.93,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\07_A6.d" ,"7" ,7.102,7.291,7.506,20.21,291.31,100.00,31.65,38.48,0.404,0.300,-0.96,17.15,7.028,7.032,7.505,7.509,-0.96,17.15,1.85,27.76,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d"," DAD1 - B:Sig=260,4  Ref=360,60 08_A7.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"1" ,0.369,0.393,0.407,4.46,5.60,1.92,9.76,0.87,0.038,0.019,-0.41,1.05,0.354,0.356,0.403,0.411,-0.41,-0.41,0.80,4.04,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"2" ,0.407,0.434,0.560,4.77,17.63,6.05,10.44,2.75,0.153,0.052,1.05,0.07,0.403,0.411,0.554,0.579,-0.24,0.05,3.53,4.58,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"3" ,0.578,0.596,0.647,45.69,59.61,20.46,100.00,9.31,0.069,0.017,0.13,0.18,0.554,0.579,0.645,0.651,0.09,0.01,3.24,45.76,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"4" ,0.647,0.664,0.765,1.18,4.10,1.41,2.57,0.64,0.117,0.053,0.18,-0.12,0.645,0.651,0.765,0.767,0.01,-0.12,3.94,1.17,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"5" ,1.152,1.206,1.303,12.51,46.73,16.04,27.38,7.30,0.152,0.059,-0.48,-0.06,1.121,1.139,1.317,1.320,-0.48,-0.06,1.71,12.19,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"6" ,3.153,3.271,3.441,19.44,126.87,43.55,42.54,19.81,0.289,0.102,-1.05,-0.52,3.139,3.142,3.460,3.462,-1.05,-0.52,1.28,18.60,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"7" ,3.468,3.563,3.680,18.78,88.48,30.37,41.09,13.82,0.212,0.073,-0.70,-1.26,3.460,3.462,3.706,3.710,-0.70,-1.26,1.09,17.83,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\08_A7.d" ,"8" ,7.100,7.298,7.506,19.97,291.29,100.00,43.72,45.49,0.406,0.299,-1.13,17.19,7.031,7.034,7.505,7.509,-1.13,17.19,1.73,27.78,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d"," DAD1 - B:Sig=260,4  Ref=360,60 09_A8.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"1" ,0.373,0.393,0.406,3.09,3.00,1.02,5.60,0.43,0.034,0.014,0.53,0.85,0.354,0.356,0.403,0.411,0.53,0.76,0.68,3.75,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"2" ,0.406,0.436,0.565,5.09,18.57,6.32,9.23,2.64,0.158,0.050,0.85,-0.01,0.403,0.411,0.564,0.567,-0.19,-0.01,3.14,4.93,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"3" ,0.572,0.590,0.640,55.10,70.73,24.07,100.00,10.06,0.069,0.017,0.09,0.51,0.564,0.567,0.637,0.645,0.09,0.38,3.15,55.27,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"4" ,1.139,1.205,1.331,13.68,58.82,20.02,24.83,8.37,0.191,0.068,-0.52,-0.23,1.132,1.136,1.330,1.332,-0.52,-0.23,1.59,13.26,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"5" ,3.145,3.269,3.419,22.58,151.36,51.51,40.98,21.53,0.274,0.106,-1.07,0.09,3.128,3.132,3.460,3.463,-1.07,0.07,1.31,22.03,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"6" ,3.465,3.560,3.666,22.43,106.60,36.27,40.71,15.16,0.202,0.075,-0.50,-0.85,3.460,3.463,3.716,3.722,-0.50,-0.85,1.14,21.76,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\09_A8.d" ,"7" ,7.094,7.299,7.505,19.97,293.87,100.00,36.25,41.81,0.411,0.299,-1.50,17.12,7.034,7.037,7.505,7.509,-1.50,17.12,1.69,27.75,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d"," DAD1 - B:Sig=260,4  Ref=360,60 10_A9.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"1" ,0.358,0.393,0.406,5.02,7.38,2.52,10.37,1.11,0.049,0.022,-1.67,1.21,0.354,0.356,0.402,0.411,-1.67,-0.55,0.74,4.15,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"2" ,0.406,0.435,0.558,5.95,23.10,7.88,12.29,3.47,0.151,0.057,1.21,0.16,0.402,0.411,0.550,0.572,-1.20,0.12,4.15,5.00,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"3" ,0.573,0.589,0.635,48.39,60.34,20.59,100.00,9.05,0.063,0.016,0.49,0.31,0.550,0.572,0.636,0.641,0.49,0.31,3.21,48.84,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"4" ,0.642,0.659,0.756,1.04,3.38,1.15,2.15,0.51,0.114,0.044,0.35,-0.03,0.636,0.641,0.764,0.767,0.29,-0.03,3.97,1.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"5" ,1.128,1.199,1.331,11.89,51.71,17.65,24.57,7.76,0.204,0.069,-0.55,-0.27,1.125,1.128,1.331,1.333,-0.55,-0.27,1.60,11.44,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"6" ,3.132,3.258,3.449,19.61,135.52,46.25,40.52,20.33,0.317,0.108,-1.03,-0.55,3.126,3.129,3.448,3.454,-1.03,-0.55,1.32,18.77,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"7" ,3.458,3.552,3.660,19.04,92.19,31.46,39.35,13.83,0.203,0.076,-0.54,-0.98,3.448,3.454,3.695,3.701,-0.54,-0.98,1.11,18.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\10_A9.d" ,"8" ,7.095,7.293,7.505,20.19,293.03,100.00,41.72,43.96,0.410,0.300,-1.34,17.17,7.033,7.035,7.505,7.509,-1.34,17.17,1.80,27.78,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d"," DAD1 - B:Sig=260,4  Ref=360,60 100_H6.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"1" ,0.402,0.430,0.558,4.65,17.60,6.11,8.12,2.68,0.156,0.058,-0.50,-0.08,0.401,0.402,0.558,0.559,-0.50,-0.08,5.02,4.22,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"2" ,0.561,0.576,0.597,57.24,56.27,19.53,100.00,8.58,0.036,0.015,0.29,7.32,0.558,0.559,0.594,0.603,0.29,0.21,2.44,57.49,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"3" ,0.597,0.604,0.618,8.41,6.94,2.41,14.70,1.06,0.021,0.018,7.32,0.16,0.594,0.603,0.619,0.623,0.21,0.16,1.06,8.60,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"4" ,0.623,0.640,0.763,0.95,4.53,1.57,1.66,0.69,0.140,0.068,0.15,-0.08,0.619,0.623,0.760,0.765,0.15,-0.17,5.60,1.06,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"5" ,1.097,1.191,1.304,8.33,51.86,18.00,14.55,7.90,0.207,0.105,-0.52,-0.03,1.089,1.091,1.302,1.306,-0.52,-0.03,1.16,8.03,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"6" ,3.084,3.225,3.392,16.85,135.42,47.00,29.43,20.64,0.308,0.130,-1.01,-0.01,3.066,3.069,3.379,3.406,-1.01,-0.01,1.26,16.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"7" ,3.392,3.508,3.645,16.81,95.34,33.09,29.36,14.53,0.253,0.089,-0.01,-1.18,3.379,3.406,3.659,3.663,-0.01,-1.18,0.96,16.26,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\100_H6.d" ,"8" ,7.101,7.292,7.505,20.03,288.14,100.00,34.99,43.92,0.404,0.299,-0.61,17.20,7.029,7.033,7.505,7.509,-0.61,17.20,1.84,27.84,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\102_H7.d"," DAD1 - B:Sig=260,4  Ref=360,60 102_H7.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\102_H7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\102_H7.d" ,"1" ,0.365,0.386,0.399,2.55,3.26,1.12,4.58,0.45,0.035,0.021,-1.90,-0.61,0.356,0.358,0.401,0.402,-1.90,-0.61,1.02,1.45,,,  ,,,,,,,,,,,,
