"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"1" ,0.360,0.379,0.392,28.22,32.00,11.16,68.87,4.27,0.032,0.033,-1.08,-38.16,0.354,0.355,0.394,0.395,-1.08,-38.16,0.35,4.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"2" ,0.407,0.426,0.472,14.15,35.59,12.41,34.54,4.75,0.065,0.042,-0.44,3.84,0.394,0.395,0.462,0.481,-0.44,-0.44,3.00,13.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"3" ,0.472,0.504,0.561,14.12,36.26,12.64,34.45,4.84,0.089,0.036,3.84,0.88,0.462,0.481,0.552,0.567,-0.44,-0.44,1.26,13.68,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"4" ,0.561,0.579,0.592,3.17,4.50,1.57,7.75,0.60,0.031,0.029,0.88,1.66,0.552,0.567,0.585,0.595,-0.44,-0.44,0.62,2.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"5" ,0.592,0.611,0.694,40.97,66.21,23.09,100.00,8.83,0.101,0.022,1.66,0.62,0.585,0.595,0.736,0.769,-0.12,-0.01,2.88,40.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"6" ,1.161,1.218,1.331,17.92,56.15,19.58,43.75,7.49,0.171,0.048,-0.35,-0.20,1.151,1.158,1.331,1.334,-0.36,-0.20,1.58,17.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"7" ,3.179,3.293,3.496,21.96,135.61,47.28,53.60,18.09,0.317,0.095,-1.01,-1.00,3.178,3.181,3.495,3.498,-1.09,-1.00,1.30,20.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"8" ,3.511,3.601,3.705,20.77,96.57,33.67,50.69,12.88,0.194,0.073,-0.90,-1.12,3.495,3.498,3.712,3.714,-0.90,-1.12,1.12,19.77,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\04_A3.d" ,"9" ,7.106,7.292,7.505,19.68,286.82,100.00,48.02,38.26,0.399,0.302,-0.42,16.21,7.025,7.027,7.505,7.509,-0.42,16.21,1.81,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d"," DAD1 - B:Sig=260,4  Ref=360,60 05_A4.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"1" ,0.361,0.379,0.393,21.72,24.62,19.67,50.85,5.65,0.032,0.034,-0.90,-28.90,0.353,0.355,0.395,0.395,-0.90,-28.90,0.36,4.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"2" ,0.408,0.426,0.481,11.78,30.17,24.11,27.58,6.92,0.073,0.040,-0.29,2.78,0.395,0.395,0.464,0.486,-0.29,-0.29,3.55,11.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"3" ,0.481,0.507,0.561,11.05,25.83,20.64,25.88,5.93,0.080,0.033,2.78,0.84,0.464,0.486,0.552,0.567,-0.29,-0.29,1.37,10.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"4" ,0.561,0.577,0.590,2.56,3.49,2.79,6.00,0.80,0.030,0.027,0.84,1.45,0.552,0.567,0.582,0.592,-0.29,-0.29,0.60,2.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"5" ,0.590,0.608,0.686,42.72,65.99,52.73,100.00,15.14,0.096,0.021,1.45,0.65,0.582,0.592,0.723,0.762,-0.02,0.06,2.93,42.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"6" ,0.753,0.779,0.812,0.81,1.41,1.13,1.90,0.32,0.059,0.028,0.04,-0.36,0.723,0.762,0.823,0.828,0.02,-0.36,0.37,0.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"7" ,0.834,0.854,0.883,1.04,1.52,1.21,2.44,0.35,0.049,0.025,-0.38,-0.10,0.823,0.828,0.904,0.907,-0.38,-0.10,2.28,0.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"8" ,1.157,1.209,1.321,18.20,55.59,44.42,42.60,12.76,0.165,0.047,-0.32,-0.18,1.150,1.152,1.308,1.311,-0.32,-0.15,1.63,17.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"9" ,1.494,1.539,1.599,0.46,1.47,1.17,1.07,0.34,0.106,0.051,-0.44,-0.49,1.490,1.495,1.616,1.623,-0.45,-0.49,1.11,-0.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"10" ,3.166,3.279,3.412,21.11,125.14,100.00,49.41,28.71,0.246,0.094,-0.96,-0.18,3.149,3.152,3.427,3.429,-0.96,-0.18,1.24,20.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"11" ,3.490,3.587,3.703,20.24,97.05,77.55,47.37,22.27,0.214,0.075,-0.92,-1.24,3.485,3.489,3.709,3.711,-0.92,-1.24,1.14,19.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"12" ,3.815,3.864,3.921,0.74,2.27,1.81,1.73,0.52,0.107,0.050,-1.48,-1.79,3.810,3.819,3.936,3.943,-1.48,-1.79,0.69,-0.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\05_A4.d" ,"13" ,6.098,6.120,6.158,0.92,1.27,1.01,2.16,0.29,0.060,0.023,-5.52,-5.27,6.086,6.091,6.146,6.149,-5.52,-5.20,1.76,-4.48,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d"," DAD1 - B:Sig=260,4  Ref=360,60 06_A5.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"1" ,0.361,0.379,0.392,24.92,28.04,5.20,61.31,2.17,0.031,0.033,-1.03,-34.01,0.354,0.355,0.394,0.395,-1.03,-34.01,0.36,4.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"2" ,0.407,0.425,0.479,13.34,34.35,6.37,32.83,2.66,0.072,0.041,-0.25,3.43,0.394,0.395,0.463,0.485,-0.25,-0.22,3.57,13.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"3" ,0.479,0.506,0.561,12.31,29.28,5.43,30.29,2.26,0.082,0.034,3.43,0.84,0.463,0.485,0.553,0.567,-0.22,-0.19,1.17,12.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"4" ,0.592,0.611,0.689,40.65,64.68,12.00,100.00,5.00,0.097,0.022,1.49,0.61,0.585,0.595,0.756,0.759,-0.11,-0.06,2.92,40.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"5" ,1.165,1.220,1.325,17.62,54.94,10.20,43.36,4.25,0.160,0.048,-0.35,-0.21,1.157,1.165,1.324,1.327,-0.35,-0.21,1.57,17.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"6" ,3.190,3.296,3.439,21.14,125.75,23.34,52.01,9.73,0.249,0.094,-0.87,-0.37,3.165,3.168,3.497,3.502,-0.87,-0.37,1.27,20.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"7" ,3.501,3.600,3.719,20.65,96.43,17.90,50.80,7.46,0.219,0.073,-0.98,-1.30,3.497,3.502,3.718,3.721,-0.98,-1.33,1.12,19.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"8" ,7.043,7.296,7.506,29.49,538.84,100.00,72.56,41.68,0.463,0.324,-3.61,15.70,7.026,7.032,7.505,7.509,-3.61,-1.49,1.19,27.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\06_A5.d" ,"9" ,7.506,7.518,8.052,13.74,320.57,59.49,33.81,24.80,0.546,0.373,15.70,1.31,7.505,7.509,8.821,8.824,5.51,1.20,35.36,19.16,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d"," DAD1 - B:Sig=260,4  Ref=360,60 07_A6.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"1" ,0.359,0.379,0.385,5.81,4.93,1.72,14.36,0.71,0.026,0.014,-1.30,-1.13,0.353,0.355,0.394,0.395,-1.30,-1.13,0.30,4.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"2" ,0.408,0.426,0.482,12.93,33.88,11.78,31.99,4.85,0.074,0.041,-0.98,2.94,0.394,0.395,0.464,0.487,-0.98,-0.48,3.54,12.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"3" ,0.482,0.508,0.561,11.17,26.16,9.10,27.62,3.74,0.079,0.034,2.94,0.94,0.464,0.487,0.553,0.566,-0.48,0.04,1.31,10.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"4" ,0.561,0.577,0.592,2.53,3.38,1.18,6.25,0.48,0.032,0.028,0.94,1.38,0.553,0.566,0.585,0.595,-0.01,0.19,0.75,2.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"5" ,0.592,0.611,0.667,40.44,61.56,21.42,100.00,8.81,0.075,0.021,1.38,0.74,0.585,0.595,0.756,0.762,0.19,0.66,2.79,40.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"6" ,1.169,1.222,1.327,17.77,55.04,19.15,43.95,7.87,0.158,0.048,-0.38,-0.22,1.163,1.167,1.323,1.332,-0.38,-0.22,1.59,17.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"7" ,3.181,3.304,3.455,21.58,129.85,45.17,53.36,18.57,0.274,0.094,-1.08,-0.54,3.169,3.172,3.506,3.509,-1.10,-0.54,1.24,20.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"8" ,3.509,3.603,3.720,21.02,96.90,33.71,51.98,13.86,0.210,0.072,-0.99,-1.32,3.506,3.509,3.728,3.741,-0.99,-1.32,1.12,19.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\07_A6.d" ,"9" ,7.101,7.296,7.505,19.52,287.47,100.00,48.28,41.12,0.404,0.302,-0.76,16.33,7.030,7.032,7.505,7.509,-0.76,16.33,1.71,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d"," DAD1 - B:Sig=260,4  Ref=360,60 08_A7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"1" ,0.361,0.379,0.392,25.15,28.66,4.92,60.73,1.84,0.032,0.033,-1.10,-35.17,0.354,0.355,0.394,0.395,-1.10,-35.17,0.36,3.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"2" ,0.409,0.427,0.478,11.71,28.57,4.91,28.27,1.84,0.069,0.039,-0.15,2.57,0.394,0.395,0.465,0.484,-0.15,0.05,3.19,11.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"3" ,0.478,0.506,0.561,11.57,26.15,4.49,27.93,1.68,0.083,0.033,2.57,0.82,0.465,0.484,0.553,0.567,0.05,0.30,1.12,11.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"4" ,0.591,0.610,0.669,41.41,63.37,10.88,100.00,4.08,0.078,0.022,1.43,0.71,0.585,0.594,0.751,0.758,0.39,0.63,2.90,41.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"5" ,1.162,1.219,1.322,17.84,55.17,9.47,43.09,3.55,0.160,0.048,-0.34,-0.17,1.157,1.161,1.320,1.325,-0.35,-0.17,1.61,17.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"6" ,3.177,3.298,3.495,21.51,132.91,22.83,51.96,8.55,0.318,0.095,-1.04,-0.96,3.176,3.178,3.495,3.497,-1.07,-0.96,1.27,20.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"7" ,3.510,3.601,3.719,20.55,95.56,16.41,49.64,6.15,0.209,0.073,-0.90,-1.26,3.495,3.497,3.726,3.731,-0.90,-1.26,1.10,19.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"8" ,7.034,7.296,7.506,29.53,541.42,92.98,71.31,34.84,0.472,0.325,-3.67,15.61,7.026,7.032,7.505,7.509,-3.67,-1.55,1.19,27.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\08_A7.d" ,"9" ,7.506,7.517,8.843,21.95,582.29,100.00,53.02,37.47,1.337,0.473,15.61,-0.42,7.505,7.509,8.841,8.846,-2.84,-0.42,113.93,19.13,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d"," DAD1 - B:Sig=260,4  Ref=360,60 09_A8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"1" ,0.362,0.379,0.392,20.19,22.12,18.05,50.94,5.38,0.030,0.033,-0.85,-26.89,0.354,0.355,0.394,0.395,-0.85,-26.89,0.36,4.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"2" ,0.407,0.424,0.481,11.78,30.08,24.55,29.71,7.32,0.074,0.040,-0.21,2.85,0.394,0.395,0.463,0.487,-0.21,-0.09,3.95,11.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"3" ,0.481,0.506,0.561,10.21,22.36,18.26,25.75,5.45,0.080,0.031,2.85,0.64,0.463,0.487,0.552,0.567,-0.09,0.03,1.07,10.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"4" ,0.561,0.577,0.590,1.98,2.48,2.03,5.00,0.60,0.030,0.026,0.64,1.24,0.552,0.567,0.582,0.593,0.03,0.08,0.66,2.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"5" ,0.590,0.609,0.686,39.63,59.99,48.97,100.00,14.61,0.096,0.021,1.24,0.53,0.582,0.593,0.744,0.748,0.08,0.23,2.98,39.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"6" ,0.751,0.775,0.804,0.71,1.25,1.02,1.79,0.30,0.054,0.029,-0.06,-0.24,0.749,0.752,0.824,0.827,-0.21,-0.24,0.99,0.49,,,  ,,,,,,,,,,,,
